geo,year,scenario,population_16plus,ports_per_100k,dcfast_per_100k,fast_share,ev_per_1k_pred_2025,ev_pred_2025,ev_per_1k_naive_2025,ev_per_1k_pred_2025_tamed,ev_pred_2025_tamed
Alberta,2025,hold_2024_levels,3980495,44.1402388396418,8.41603870875356,0.1906659077973819,1.99,7905.0,,1.99,7921.0
British Columbia,2025,hold_2024_levels,4863298,135.81318685385924,37.60822388428593,0.2769114307342922,11.12,54099.0,9.36936210777131,10.769872421554261,52377.0
Manitoba,2025,hold_2024_levels,1207059,39.93176804116452,8.61598314581143,0.2157676348547718,2.16,2607.0,2.4447852176239935,2.2169570435247987,2676.0
New Brunswick,2025,hold_2024_levels,728182,62.62170721056,20.18726087708842,0.3223684210526316,2.94,2140.0,3.882271190444147,3.128454238088829,2278.0
Newfoundland and Labrador,2025,hold_2024_levels,473028,40.58956340850858,8.667563019525272,0.2135416666666666,1.97,933.0,,1.97,932.0
Northwest Territories,2025,hold_2024_levels,36305,27.544415369783778,11.01776614791351,0.4,1.6,58.0,1.23949869164027,1.5278997383280541,55.0
Nova Scotia,2025,hold_2024_levels,925347,58.68068951431193,8.753473021471946,0.149171270718232,2.46,2280.0,3.0356179897919375,2.5751235979583873,2383.0
Ontario,2025,hold_2024_levels,13606758,80.1219511657369,12.11162864805856,0.1511649238671803,4.33,58955.0,4.159183252910061,4.295836650582013,58452.0
Prince Edward Island,2025,hold_2024_levels,152476,215.77166242556203,15.084341142212546,0.0699088145896656,2.39,364.0,4.033421653243789,2.718684330648758,415.0
Quebec,2025,hold_2024_levels,7511679,142.32503811731038,25.53357245430749,0.1794032363670377,48.58,364945.0,19.67030273790986,42.798060547581976,321485.0
Saskatchewan,2025,hold_2024_levels,997502,34.18539511700227,15.137814260021532,0.4428152492668621,1.59,1586.0,1.397490932349008,1.5514981864698019,1548.0
Yukon,2025,hold_2024_levels,39693,118.40878744362986,57.94472577028695,0.4893617021276595,3.03,120.0,5.492152268661981,3.5224304537323956,140.0
Alberta,2025,growth_+20%_ports_+2pp_fast,3980495,52.968286607570164,10.099246450504271,0.2106659077973819,2.16,8607.0,,2.16,8598.0
British Columbia,2025,growth_+20%_ports_+2pp_fast,4863298,162.97582422463108,45.129868661143114,0.2969114307342922,12.68,61685.0,9.36936210777131,12.017872421554262,58446.0
Manitoba,2025,growth_+20%_ports_+2pp_fast,1207059,47.91812164939742,10.339179774973717,0.23576763485477178,2.3,2773.0,2.4447852176239935,2.3289570435247984,2811.0
New Brunswick,2025,growth_+20%_ports_+2pp_fast,728182,75.146048652672,24.224713052506104,0.3423684210526316,3.04,2212.0,3.882271190444147,3.2084542380888297,2336.0
Newfoundland and Labrador,2025,growth_+20%_ports_+2pp_fast,473028,48.7074760902103,10.401075623430325,0.2335416666666666,2.11,997.0,,2.11,998.0
Northwest Territories,2025,growth_+20%_ports_+2pp_fast,36305,33.05329844374053,13.221319377496213,0.42000000000000004,1.56,57.0,1.23949869164027,1.4958997383280541,54.0
Nova Scotia,2025,growth_+20%_ports_+2pp_fast,925347,70.41682741717432,10.504167625766334,0.169171270718232,2.83,2620.0,3.0356179897919375,2.8711235979583876,2657.0
Ontario,2025,growth_+20%_ports_+2pp_fast,13606758,96.14634139888427,14.53395437767027,0.1711649238671803,5.15,70062.0,4.159183252910061,4.951836650582012,67378.0
Prince Edward Island,2025,growth_+20%_ports_+2pp_fast,152476,258.92599491067443,18.101209370655056,0.0899088145896656,4.86,741.0,4.033421653243789,4.694684330648758,716.0
Quebec,2025,growth_+20%_ports_+2pp_fast,7511679,170.79004574077246,30.640286945168985,0.1994032363670377,61.72,463643.0,19.67030273790986,53.310060547581976,400448.0
Saskatchewan,2025,growth_+20%_ports_+2pp_fast,997502,41.02247414040273,18.165377112025837,0.4628152492668621,1.52,1519.0,1.397490932349008,1.4954981864698018,1492.0
Yukon,2025,growth_+20%_ports_+2pp_fast,39693,142.09054493235584,69.53367092434434,0.5093617021276595,2.67,106.0,5.492152268661981,3.2344304537323962,128.0
