geo,year,stations_opened,level2_opened,dcfast_opened,chargers_stations,level2_ports,dcfast_ports,chargers_ports,fast_share,zev_q1,zev_q2,zev_q3,zev_q4,quarters_present,zev_q1i,zev_q2i,zev_q3i,zev_q4i,annual_complete,annual_imputed,ev_annual,ev_method
Alberta,2017,14,29,0,64,123,16,139,0.1151079136690647,,,,,0,,,,,,,,missing
Alberta,2018,10,31,0,74,154,16,170,0.0941176470588235,,,,,0,,,,,,,,missing
Alberta,2019,30,94,23,104,248,39,287,0.1358885017421602,,,,,0,,,,,,,,missing
Alberta,2020,22,29,30,126,277,69,346,0.1994219653179191,,,,,0,,,,,,,,missing
Alberta,2021,51,108,37,177,385,106,491,0.2158859470468432,,,,,0,,,,,,,,missing
Alberta,2022,153,280,45,330,665,151,816,0.1850490196078431,,,,,0,,,,,,,,missing
Alberta,2023,210,434,91,540,1099,242,1341,0.180462341536167,,,,,0,,,,,,,,missing
Alberta,2024,166,323,93,706,1422,335,1757,0.1906659077973819,,,,,0,,,,,,,,missing
British Columbia,2017,42,87,19,193,398,49,447,0.1096196868008948,785.0,761.0,806.0,790.0,4,785.0,761.0,806.0,790.0,3142.0,3142.0,3142.0,complete_year
British Columbia,2018,68,126,47,261,524,96,620,0.1548387096774193,1367.0,2463.0,2451.0,2041.0,4,1367.0,2463.0,2451.0,2041.0,8322.0,8322.0,8322.0,complete_year
British Columbia,2019,205,511,165,466,1035,261,1296,0.2013888888888889,2793.0,6481.0,4498.0,3192.0,4,2793.0,6481.0,4498.0,3192.0,16964.0,16964.0,16964.0,complete_year
British Columbia,2020,138,254,90,604,1289,351,1640,0.2140243902439024,3704.0,2591.0,4506.0,4384.0,4,3704.0,2591.0,4506.0,4384.0,15185.0,15185.0,15185.0,complete_year
British Columbia,2021,284,557,312,888,1846,663,2509,0.2642487046632124,6128.0,5739.0,6449.0,5550.0,4,6128.0,5739.0,6449.0,5550.0,23866.0,23866.0,23866.0,complete_year
