geo,year,stations_opened,level2_opened,dcfast_opened,chargers_stations,level2_ports,dcfast_ports,chargers_ports,fast_share,zev_q1,zev_q2,zev_q3,zev_q4,quarters_present,zev_q1i,zev_q2i,zev_q3i,zev_q4i,annual_complete,annual_imputed,ev_annual,ev_method,population_16plus,pct_65_plus,ev_per_1k,ports_per_100k,dcfast_per_100k
Alberta,2017,14,29,0,64,123,16,139,0.1151079136690647,,,,,0,,,,,,,,missing,3387024,15.47,,4.103897698982942,0.47239110204120194
Alberta,2018,10,31,0,74,154,16,170,0.0941176470588235,,,,,0,,,,,,,,missing,3431043,15.99,,4.954761569586857,0.4663305006669983
Alberta,2019,30,94,23,104,248,39,287,0.1358885017421602,,,,,0,,,,,,,,missing,3484102,16.58,,8.237416700199937,1.1193702136160193
Alberta,2020,22,29,30,126,277,69,346,0.1994219653179191,,,,,0,,,,,,,,missing,3530230,17.19,,9.801061120663526,1.954546870883767
Alberta,2021,51,108,37,177,385,106,491,0.2158859470468432,,,,,0,,,,,,,,missing,3554833,17.89,,13.812181894339341,2.981855969042709
Alberta,2022,153,280,45,330,665,151,816,0.1850490196078431,,,,,0,,,,,,,,missing,3628454,18.42,,22.488916767306407,4.161551999832436
Alberta,2023,210,434,91,540,1099,242,1341,0.180462341536167,,,,,0,,,,,,,,missing,3784641,18.63,,35.43268701047206,6.394265664827919
Alberta,2024,166,323,93,706,1422,335,1757,0.1906659077973819,,,,,0,,,,,,,,missing,3980495,18.65,,44.1402388396418,8.41603870875356
British Columbia,2017,42,87,19,193,398,49,447,0.1096196868008948,785.0,761.0,806.0,790.0,4,785.0,761.0,806.0,790.0,3142.0,3142.0,3142.0,complete_year,4173138,21.03,0.7529106394276921,10.71136396639651,1.1741763632067763
British Columbia,2018,68,126,47,261,524,96,620,0.1548387096774193,1367.0,2463.0,2451.0,2041.0,4,1367.0,2463.0,2451.0,2041.0,8322.0,8322.0,8322.0,complete_year,4251964,21.41,1.9572131843072988,14.581496927067116,2.2577801693523276
British Columbia,2019,205,511,165,466,1035,261,1296,0.2013888888888889,2793.0,6481.0,4498.0,3192.0,4,2793.0,6481.0,4498.0,3192.0,16964.0,16964.0,16964.0,complete_year,4335382,21.81,3.912919322910876,29.893559552537702,6.020230743219398
British Columbia,2020,138,254,90,604,1289,351,1640,0.2140243902439024,3704.0,2591.0,4506.0,4384.0,4,3704.0,2591.0,4506.0,4384.0,15185.0,15185.0,15185.0,complete_year,4393667,22.36,3.45611080675891,37.32645191362932,7.98877111078286
British Columbia,2021,284,557,312,888,1846,663,2509,0.2642487046632124,6128.0,5739.0,6449.0,5550.0,4,6128.0,5739.0,6449.0,5550.0,23866.0,23866.0,23866.0,complete_year,4441202,22.92,5.373770434220286,56.493714989770794,14.928391007659638
British Columbia,2022,459,866,268,1347,2712,931,3643,0.2555586055448806,6688.0,7072.0,8262.0,7565.0,4,6688.0,7072.0,8262.0,7565.0,29587.0,29587.0,29587.0,complete_year,4563465,23.1,6.483450623594133,79.82969081607945,20.401164466036224
British Columbia,2023,484,1058,383,1831,3770,1314,5084,0.2584579071597168,8107.0,10954.0,13418.0,10969.0,4,8107.0,10954.0,13418.0,10969.0,43448.0,43448.0,43448.0,complete_year,4713595,23.14,9.21759294126882,107.85822710691097,27.87681164800964
British Columbia,2024,442,1006,515,2273,4776,1829,6605,0.2769114307342922,10088.0,12081.0,12812.0,10585.0,4,10088.0,12081.0,12812.0,10585.0,45566.0,45566.0,45566.0,complete_year,4863298,23.22,9.36936210777131,135.81318685385924,37.60822388428593
Manitoba,2017,5,8,0,17,23,0,23,0.0,10.0,16.0,16.0,12.0,4,10.0,16.0,16.0,12.0,54.0,54.0,54.0,complete_year,1066162,18.96,0.050648963290756945,2.157270658680388,0.0
Manitoba,2018,0,0,0,17,23,0,23,0.0,15.0,49.0,40.0,55.0,4,15.0,49.0,40.0,55.0,159.0,159.0,159.0,complete_year,1081098,19.25,0.1470726983122714,2.1274667051460643,0.0
Manitoba,2019,9,13,4,26,36,4,40,0.1,26.0,96.0,98.0,67.0,4,26.0,96.0,98.0,67.0,287.0,287.0,287.0,complete_year,1095650,19.65,0.2619449641765162,3.650800894446219,0.3650800894446219
Manitoba,2020,5,0,28,31,36,32,68,0.4705882352941176,65.0,65.0,101.0,81.0,4,65.0,65.0,101.0,81.0,312.0,312.0,312.0,complete_year,1104167,20.15,0.28256595243292,6.158488706871334,2.8981123326453333
Manitoba,2021,18,22,8,49,58,40,98,0.4081632653061224,100.0,155.0,194.0,183.0,4,100.0,155.0,194.0,183.0,632.0,632.0,632.0,complete_year,1115807,20.56,0.5664061974875583,8.782880910408341,3.584849351187078
Manitoba,2022,56,94,7,105,152,47,199,0.236180904522613,201.0,233.0,314.0,298.0,4,201.0,233.0,314.0,298.0,1046.0,1046.0,1046.0,complete_year,1136080,20.78,0.9207098091683684,17.516372086472785,4.1370326033377935
Manitoba,2023,78,111,30,183,263,77,340,0.2264705882352941,262.0,383.0,577.0,376.0,4,262.0,383.0,577.0,376.0,1598.0,1598.0,1598.0,complete_year,1171883,20.8,1.3636173577055046,29.013135270329887,6.570621811221768
Manitoba,2024,72,115,27,255,378,104,482,0.2157676348547718,460.0,736.0,866.0,889.0,4,460.0,736.0,866.0,889.0,2951.0,2951.0,2951.0,complete_year,1207059,20.86,2.4447852176239935,39.93176804116452,8.61598314581143
New Brunswick,2017,20,21,13,40,48,13,61,0.2131147540983606,5.0,7.0,6.0,8.0,4,5.0,7.0,6.0,8.0,26.0,26.0,26.0,complete_year,647990,23.83,0.04012407598882699,9.413725520455563,2.0062037994413493
New Brunswick,2018,3,7,1,43,55,14,69,0.2028985507246377,10.0,16.0,9.0,21.0,4,10.0,16.0,9.0,21.0,56.0,56.0,56.0,complete_year,651632,24.54,0.08593807547818401,10.588798585704815,2.1484518869546
New Brunswick,2019,17,18,32,60,73,46,119,0.3865546218487395,12.0,61.0,54.0,39.0,4,12.0,61.0,54.0,39.0,166.0,166.0,166.0,complete_year,657917,25.22,0.25231146178013336,18.08738792279269,6.9917633987265875
New Brunswick,2020,17,23,33,77,96,79,175,0.4514285714285714,37.0,31.0,66.0,46.0,4,37.0,31.0,66.0,46.0,180.0,180.0,180.0,complete_year,663725,25.96,0.271196655241252,26.36634148178839,11.902519868921617
New Brunswick,2021,22,34,2,99,130,81,211,0.3838862559241706,67.0,117.0,182.0,107.0,4,67.0,117.0,182.0,107.0,473.0,473.0,473.0,complete_year,671039,26.62,0.7048770637772171,31.443775995135898,12.070833438891032
