year,geo,16 to 64 years,65 years and older,pct_16_64,pct_65_plus
2017,Alberta,5725842,1048206,84.53,15.47
2017,British Columbia,6591460,1754816,78.97,21.03
2017,Canada,48207178,12250966,79.74,20.26
2017,Manitoba,1728112,404212,81.04,18.96
2017,New Brunswick,987206,308774,76.17,23.83
2017,Newfoundland and Labrador,691818,208982,76.8,23.2
2017,Northwest Territories,63374,6762,90.36,9.64
2017,Nova Scotia,1236392,378684,76.55,23.45
2017,Nunavut,47136,2858,94.28,5.72
2017,Ontario,18657796,4676040,79.96,20.04
2017,Prince Edward Island,191520,57594,76.88,23.12
2017,Quebec,10757374,3047006,77.93,22.07
2017,Saskatchewan,1473246,347880,80.9,19.1
2017,Yukon,55902,9152,85.93,14.07
2018,Alberta,5764772,1097314,84.01,15.99
2018,British Columbia,6683118,1820810,78.59,21.41
2018,Canada,48691684,12674880,79.35,20.65
2018,Manitoba,1746016,416180,80.75,19.25
2018,New Brunswick,983432,319832,75.46,24.54
2018,Newfoundland and Labrador,682926,218100,75.79,24.21
2018,Northwest Territories,62658,7240,89.64,10.36
2018,Nova Scotia,1242286,391304,76.05,23.95
2018,Nunavut,47882,2970,94.16,5.84
2018,Ontario,18950356,4832530,79.68,20.32
2018,Prince Edward Island,193892,59488,76.52,23.48
2018,Quebec,10802604,3141158,77.47,22.53
2018,Saskatchewan,1475024,358078,80.47,19.53
2018,Yukon,56718,9876,85.17,14.83
2019,Alberta,5812754,1155450,83.42,16.58
2019,British Columbia,6779338,1891426,78.19,21.81
2019,Canada,49181082,13146518,78.91,21.09
2019,Manitoba,1760744,430556,80.35,19.65
2019,New Brunswick,984016,331818,74.78,25.22
2019,Newfoundland and Labrador,674844,227528,74.79,25.21
2019,Northwest Territories,61926,7802,88.81,11.19
2019,Nova Scotia,1253004,405376,75.56,24.44
2019,Nunavut,48408,3118,93.95,6.05
2019,Ontario,19226588,5004702,79.35,20.65
2019,Prince Edward Island,198046,61750,76.23,23.77
2019,Quebec,10849222,3245604,76.97,23.03
2019,Saskatchewan,1475072,370704,79.92,20.08
2019,Yukon,57120,10684,84.24,15.76
2020,Alberta,5846588,1213872,82.81,17.19
2020,British Columbia,6822182,1965152,77.64,22.36
2020,Canada,49439332,13619042,78.4,21.6
2020,Manitoba,1763302,445032,79.85,20.15
2020,New Brunswick,982858,344592,74.04,25.96
2020,Newfoundland and Labrador,666784,236940,73.78,26.22
2020,Northwest Territories,61570,8338,88.07,11.93
2020,Nova Scotia,1262212,420318,75.02,24.98
2020,Nunavut,49218,3286,93.74,6.26
2020,Ontario,19404218,5175026,78.95,21.05
2020,Prince Edward Island,202302,63986,75.97,24.03
2020,Quebec,10853118,3346742,76.43,23.57
2020,Saskatchewan,1467364,384242,79.25,20.75
2020,Yukon,57616,11516,83.34,16.66
2021,Alberta,5837568,1272098,82.11,17.89
2021,British Columbia,6846212,2036192,77.08,22.92
2021,Canada,49392988,14091980,77.8,22.2
2021,Manitoba,1772866,458748,79.44,20.56
2021,New Brunswick,984774,357304,73.38,26.62
2021,Newfoundland and Labrador,659688,246416,72.8,27.2
2021,Northwest Territories,61348,8806,87.45,12.55
2021,Nova Scotia,1267580,435570,74.43,25.57
2021,Nunavut,49914,3490,93.46,6.54
2021,Ontario,19406320,5342674,78.41,21.59
2021,Prince Edward Island,205794,66586,75.55,24.45
2021,Quebec,10785812,3454584,75.74,24.26
2021,Saskatchewan,1456536,397130,78.58,21.42
2021,Yukon,58576,12382,82.55,17.45
2022,Alberta,5920498,1336410,81.58,18.42
2022,British Columbia,7018582,2108348,76.9,23.1
2022,Canada,50207850,14597888,77.47,22.53
2022,Manitoba,1799894,472266,79.22,20.78
2022,New Brunswick,1002232,370214,73.03,26.97
2022,Newfoundland and Labrador,660876,253950,72.24,27.76
2022,Northwest Territories,61400,9096,87.1,12.9
2022,Nova Scotia,1294346,450616,74.18,25.82
2022,Nunavut,50392,3632,93.28,6.72
2022,Ontario,19825310,5526870,78.2,21.8
2022,Prince Edward Island,212252,69046,75.45,24.55
2022,Quebec,10837762,3575278,75.19,24.81
2022,Saskatchewan,1464588,409294,78.16,21.84
2022,Yukon,59718,12868,82.27,17.73
2023,Alberta,6159142,1410140,81.37,18.63
2023,British Columbia,7245654,2181536,76.86,23.14
2023,Canada,51725562,15124248,77.38,22.62
2023,Manitoba,1856318,487448,79.2,20.8
2023,New Brunswick,1026816,382756,72.85,27.15
2023,Newfoundland and Labrador,667852,261904,71.83,28.17
2023,Northwest Territories,61470,9524,86.58,13.42
2023,Nova Scotia,1330808,465260,74.1,25.9
2023,Nunavut,50894,3798,93.06,6.94
2023,Ontario,20540008,5719272,78.22,21.78
2023,Prince Edward Island,222410,71458,75.68,24.32
2023,Quebec,10998138,3694578,74.85,25.15
2023,Saskatchewan,1504194,423020,78.05,21.95
2023,Yukon,61858,13554,82.03,17.97
2024,Alberta,6476088,1484902,81.35,18.65
2024,British Columbia,7468138,2258458,76.78,23.22
2024,Canada,53427986,15671452,77.32,22.68
2024,Manitoba,1910484,503634,79.14,20.86
2024,New Brunswick,1061838,394526,72.91,27.09
2024,Newfoundland and Labrador,676274,269782,71.48,28.52
2024,Northwest Territories,62562,10048,86.16,13.84
2024,Nova Scotia,1371178,479516,74.09,25.91
2024,Nunavut,51760,4034,92.77,7.23
2024,Ontario,21284640,5928876,78.21,21.79
2024,Prince Edward Island,231254,73698,75.83,24.17
2024,Quebec,11210644,3812714,74.62,25.38
2024,Saskatchewan,1557942,437062,78.09,21.91
2024,Yukon,65184,14202,82.11,17.89
2025,Alberta,6619296,1559998,80.93,19.07
2025,British Columbia,7455642,2334492,76.15,23.85
2025,Canada,53651332,16216934,76.79,23.21
2025,Manitoba,1928528,520730,78.74,21.26
2025,New Brunswick,1071038,405494,72.54,27.46
2025,Newfoundland and Labrador,675892,277028,70.93,29.07
2025,Northwest Territories,63642,10528,85.81,14.19
2025,Nova Scotia,1378540,493504,73.64,26.36
2025,Nunavut,52442,4360,92.32,7.68
2025,Ontario,21289420,6139394,77.62,22.38
2025,Prince Edward Island,234480,76210,75.47,24.53
2025,Quebec,11234696,3928904,74.09,25.91
2025,Saskatchewan,1581682,451518,77.79,22.21
2025,Yukon,66034,14774,81.72,18.28
