year,geo,dguid,geo_level,is_national,gender,age,population
2017,Alberta,2021A000248,province,False,Men+,16_plus,1701045
2017,Alberta,2021A000248,province,False,Total - gender,16_plus,3387024
2017,Alberta,2021A000248,province,False,Women+,16_plus,1685979
2017,British Columbia,2021A000259,province,False,Men+,16_plus,2052438
2017,British Columbia,2021A000259,province,False,Total - gender,16_plus,4173138
2017,British Columbia,2021A000259,province,False,Women+,16_plus,2120700
2017,Canada,2021A000011124,national,True,Men+,16_plus,14913128
2017,Canada,2021A000011124,national,True,Total - gender,16_plus,30229072
2017,Canada,2021A000011124,national,True,Women+,16_plus,15315944
2017,Manitoba,2021A000246,province,False,Men+,16_plus,530402
2017,Manitoba,2021A000246,province,False,Total - gender,16_plus,1066162
2017,Manitoba,2021A000246,province,False,Women+,16_plus,535760
2017,New Brunswick,2021A000213,province,False,Men+,16_plus,318503
2017,New Brunswick,2021A000213,province,False,Total - gender,16_plus,647990
2017,New Brunswick,2021A000213,province,False,Women+,16_plus,329487
2017,Newfoundland and Labrador,2021A000210,province,False,Men+,16_plus,221779
2017,Newfoundland and Labrador,2021A000210,province,False,Total - gender,16_plus,450400
2017,Newfoundland and Labrador,2021A000210,province,False,Women+,16_plus,228621
2017,Northwest Territories,2021A000261,province,False,Men+,16_plus,18143
2017,Northwest Territories,2021A000261,province,False,Total - gender,16_plus,35068
2017,Northwest Territories,2021A000261,province,False,Women+,16_plus,16925
2017,Nova Scotia,2021A000212,province,False,Men+,16_plus,392123
2017,Nova Scotia,2021A000212,province,False,Total - gender,16_plus,807538
2017,Nova Scotia,2021A000212,province,False,Women+,16_plus,415415
2017,Nunavut,2021A000262,province,False,Men+,16_plus,12886
2017,Nunavut,2021A000262,province,False,Total - gender,16_plus,24997
2017,Nunavut,2021A000262,province,False,Women+,16_plus,12111
2017,Ontario,2021A000235,province,False,Men+,16_plus,5711578
2017,Ontario,2021A000235,province,False,Total - gender,16_plus,11666918
2017,Ontario,2021A000235,province,False,Women+,16_plus,5955340
2017,Prince Edward Island,2021A000211,province,False,Men+,16_plus,60275
2017,Prince Edward Island,2021A000211,province,False,Total - gender,16_plus,124557
