geo,prov_code,year,scenario,population_16plus,pct_16_64,ev_annual,ev_per_1k,ev_pred_2025,ev_per_1k_pred_2025,ev_count_display,ev_per_1k_display,chargers_ports,dcfast_ports,ports_per_100k,dcfast_per_100k,fast_share,yoy_ev_per_1k,yoy_ports_per_100k,rank_ev_per_1k,quartile_ev_per_1k,rank_ports_per_100k,quartile_ports_per_100k,share_ev_national,share_ports_national
Alberta,AB,2017,Actual,3387024,84.53,,,,,,,139,16,4.103897698982942,0.4723911020412019,0.1151079136690647,,,,,7.0,2.0,,0.06597057427622212
Alberta,AB,2018,Actual,3431043,84.01,,,,,,,170,16,4.954761569586857,0.4663305006669983,0.0941176470588235,,0.8508638706039156,,,8.0,2.0,,0.05429575215586075
Alberta,AB,2019,Actual,3484102,83.42,,,,,,,287,39,8.237416700199937,1.1193702136160193,0.1358885017421602,,3.2826551306130796,,,8.0,2.0,,0.03610971313537997
Alberta,AB,2020,Actual,3530230,82.81,,,,,,,346,69,9.801061120663526,1.954546870883767,0.1994219653179191,,1.5636444204635893,,,9.0,2.0,,0.03533135913407536
Alberta,AB,2021,Actual,3554833,82.11,,,,,,,491,106,13.81218189433934,2.981855969042709,0.2158859470468432,,4.011120773675813,,,8.0,2.0,,0.03758420085731782
Alberta,AB,2022,Actual,3628454,81.58,,,,,,,816,151,22.488916767306407,4.161551999832436,0.1850490196078431,,8.676734872967067,,,9.0,2.0,,0.045257903494176376
Alberta,AB,2023,Actual,3784641,81.37,,,,,,,1341,242,35.43268701047206,6.394265664827919,0.180462341536167,,12.943770243165652,,,9.0,2.0,,0.053092089634967136
Alberta,AB,2024,Actual,3980495,81.35,,,,,,,1757,335,44.1402388396418,8.41603870875356,0.1906659077973819,,8.707551829169745,,,8.0,2.0,,0.054303817029825376
Alberta,AB,2025,growth_+20%_ports_+2pp_fast,3980495,81.35,,,8607.0,2.16,8607.0,2.16,1757,335,44.1402388396418,8.41603870875356,0.1906659077973819,,,,,,,,
Alberta,AB,2025,hold_2024_levels,3980495,81.35,,,7905.0,1.99,7905.0,1.99,1757,335,44.1402388396418,8.41603870875356,0.1906659077973819,,,,,,,,
British Columbia,BC,2017,Actual,4173138,78.97,3142.0,0.7529106394276921,,,3142.0,0.7529106394276921,447,49,10.71136396639651,1.1741763632067763,0.1096196868008948,,,2.0,4.0,2.0,4.0,0.1631190945903852,0.2121499762695776
British Columbia,BC,2018,Actual,4251964,78.59,8322.0,1.9572131843072988,,,8322.0,1.9572131843072988,620,96,14.581496927067116,2.257780169352328,0.1548387096774193,1.2043025448796068,3.870132960670606,2.0,4.0,2.0,4.0,0.19207422623306483,0.19801980198019803
