"REF_DATE","GEO","DGUID","Gender","Age group","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2017","Canada","2021A000011124","Total - gender","All ages","Persons","249","units","0","v466668","1.1.1","36545075","","","","0"
"2018","Canada","2021A000011124","Total - gender","All ages","Persons","249","units","0","v466668","1.1.1","37072620","","","","0"
"2019","Canada","2021A000011124","Total - gender","All ages","Persons","249","units","0","v466668","1.1.1","37618495","","","","0"
"2020","Canada","2021A000011124","Total - gender","All ages","Persons","249","units","0","v466668","1.1.1","38028638","","","","0"
"2021","Canada","2021A000011124","Total - gender","All ages","Persons","249","units","0","v466668","1.1.1","38239864","","","","0"
"2022","Canada","2021A000011124","Total - gender","All ages","Persons","249","units","0","v466668","1.1.1","38950132","","","","0"
"2023","Canada","2021A000011124","Total - gender","All ages","Persons","249","units","0","v466668","1.1.1","40049088","","","","0"
"2024","Canada","2021A000011124","Total - gender","All ages","Persons","249","units","0","v466668","1.1.1","41262329","","","","0"
"2025","Canada","2021A000011124","Total - gender","All ages","Persons","249","units","0","v466668","1.1.1","41651653","","","","0"
"2017","Canada","2021A000011124","Total - gender","16 to 64 years","Persons","249","units","0","v466974","1.1.97","24103589","","","","0"
"2018","Canada","2021A000011124","Total - gender","16 to 64 years","Persons","249","units","0","v466974","1.1.97","24345842","","","","0"
"2019","Canada","2021A000011124","Total - gender","16 to 64 years","Persons","249","units","0","v466974","1.1.97","24590541","","","","0"
"2020","Canada","2021A000011124","Total - gender","16 to 64 years","Persons","249","units","0","v466974","1.1.97","24719666","","","","0"
"2021","Canada","2021A000011124","Total - gender","16 to 64 years","Persons","249","units","0","v466974","1.1.97","24696494","","","","0"
"2022","Canada","2021A000011124","Total - gender","16 to 64 years","Persons","249","units","0","v466974","1.1.97","25103925","","","","0"
"2023","Canada","2021A000011124","Total - gender","16 to 64 years","Persons","249","units","0","v466974","1.1.97","25862781","","","","0"
"2024","Canada","2021A000011124","Total - gender","16 to 64 years","Persons","249","units","0","v466974","1.1.97","26713993","","","","0"
"2025","Canada","2021A000011124","Total - gender","16 to 64 years","Persons","249","units","0","v466974","1.1.97","26825666","","","","0"
"2017","Canada","2021A000011124","Total - gender","65 years and older","Persons","249","units","0","v466686","1.1.104","6125483","","","","0"
"2018","Canada","2021A000011124","Total - gender","65 years and older","Persons","249","units","0","v466686","1.1.104","6337440","","","","0"
"2019","Canada","2021A000011124","Total - gender","65 years and older","Persons","249","units","0","v466686","1.1.104","6573259","","","","0"
"2020","Canada","2021A000011124","Total - gender","65 years and older","Persons","249","units","0","v466686","1.1.104","6809521","","","","0"
"2021","Canada","2021A000011124","Total - gender","65 years and older","Persons","249","units","0","v466686","1.1.104","7045990","","","","0"
"2022","Canada","2021A000011124","Total - gender","65 years and older","Persons","249","units","0","v466686","1.1.104","7298944","","","","0"
"2023","Canada","2021A000011124","Total - gender","65 years and older","Persons","249","units","0","v466686","1.1.104","7562124","","","","0"
"2024","Canada","2021A000011124","Total - gender","65 years and older","Persons","249","units","0","v466686","1.1.104","7835726","","","","0"
"2025","Canada","2021A000011124","Total - gender","65 years and older","Persons","249","units","0","v466686","1.1.104","8108467","","","","0"
"2017","Canada","2021A000011124","Men+","All ages","Persons","249","units","0","v466669","1.2.1","18142187","","","","0"
"2018","Canada","2021A000011124","Men+","All ages","Persons","249","units","0","v466669","1.2.1","18425190","","","","0"
"2019","Canada","2021A000011124","Men+","All ages","Persons","249","units","0","v466669","1.2.1","18715511","","","","0"
"2020","Canada","2021A000011124","Men+","All ages","Persons","249","units","0","v466669","1.2.1","18929001","","","","0"
"2021","Canada","2021A000011124","Men+","All ages","Persons","249","units","0","v466669","1.2.1","19042795","","","","0"
"2022","Canada","2021A000011124","Men+","All ages","Persons","249","units","0","v466669","1.2.1","19403687","","","","0"
"2023","Canada","2021A000011124","Men+","All ages","Persons","249","units","0","v466669","1.2.1","19988209","","","","0"
"2024","Canada","2021A000011124","Men+","All ages","Persons","249","units","0","v466669","1.2.1","20624749","","","","0"
"2025","Canada","2021A000011124","Men+","All ages","Persons","249","units","0","v466669","1.2.1","20810309","","","","0"
"2017","Canada","2021A000011124","Men+","16 to 64 years","Persons","249","units","0","v466975","1.2.97","12110781","","","","0"
"2018","Canada","2021A000011124","Men+","16 to 64 years","Persons","249","units","0","v466975","1.2.97","12247025","","","","0"
"2019","Canada","2021A000011124","Men+","16 to 64 years","Persons","249","units","0","v466975","1.2.97","12384995","","","","0"
"2020","Canada","2021A000011124","Men+","16 to 64 years","Persons","249","units","0","v466975","1.2.97","12457507","","","","0"
"2021","Canada","2021A000011124","Men+","16 to 64 years","Persons","249","units","0","v466975","1.2.97","12457303","","","","0"
"2022","Canada","2021A000011124","Men+","16 to 64 years","Persons","249","units","0","v466975","1.2.97","12673322","","","","0"
"2023","Canada","2021A000011124","Men+","16 to 64 years","Persons","249","units","0","v466975","1.2.97","13092500","","","","0"
"2024","Canada","2021A000011124","Men+","16 to 64 years","Persons","249","units","0","v466975","1.2.97","13554301","","","","0"
"2025","Canada","2021A000011124","Men+","16 to 64 years","Persons","249","units","0","v466975","1.2.97","13608180","","","","0"
"2017","Canada","2021A000011124","Men+","65 years and older","Persons","249","units","0","v466687","1.2.104","2802347","","","","0"
"2018","Canada","2021A000011124","Men+","65 years and older","Persons","249","units","0","v466687","1.2.104","2905969","","","","0"
"2019","Canada","2021A000011124","Men+","65 years and older","Persons","249","units","0","v466687","1.2.104","3020231","","","","0"
"2020","Canada","2021A000011124","Men+","65 years and older","Persons","249","units","0","v466687","1.2.104","3135087","","","","0"
"2021","Canada","2021A000011124","Men+","65 years and older","Persons","249","units","0","v466687","1.2.104","3248584","","","","0"
"2022","Canada","2021A000011124","Men+","65 years and older","Persons","249","units","0","v466687","1.2.104","3369445","","","","0"
"2023","Canada","2021A000011124","Men+","65 years and older","Persons","249","units","0","v466687","1.2.104","3496115","","","","0"
"2024","Canada","2021A000011124","Men+","65 years and older","Persons","249","units","0","v466687","1.2.104","3626317","","","","0"
"2025","Canada","2021A000011124","Men+","65 years and older","Persons","249","units","0","v466687","1.2.104","3756429","","","","0"
"2017","Canada","2021A000011124","Women+","All ages","Persons","249","units","0","v466670","1.3.1","18402888","","","","0"
"2018","Canada","2021A000011124","Women+","All ages","Persons","249","units","0","v466670","1.3.1","18647430","","","","0"
"2019","Canada","2021A000011124","Women+","All ages","Persons","249","units","0","v466670","1.3.1","18902984","","","","0"
"2020","Canada","2021A000011124","Women+","All ages","Persons","249","units","0","v466670","1.3.1","19099637","","","","0"
"2021","Canada","2021A000011124","Women+","All ages","Persons","249","units","0","v466670","1.3.1","19197069","","","","0"
"2022","Canada","2021A000011124","Women+","All ages","Persons","249","units","0","v466670","1.3.1","19546445","","","","0"
"2023","Canada","2021A000011124","Women+","All ages","Persons","249","units","0","v466670","1.3.1","20060879","","","","0"
"2024","Canada","2021A000011124","Women+","All ages","Persons","249","units","0","v466670","1.3.1","20637580","","","","0"
"2025","Canada","2021A000011124","Women+","All ages","Persons","249","units","0","v466670","1.3.1","20841344","","","","0"
"2017","Canada","2021A000011124","Women+","16 to 64 years","Persons","249","units","0","v466976","1.3.97","11992808","","","","0"
"2018","Canada","2021A000011124","Women+","16 to 64 years","Persons","249","units","0","v466976","1.3.97","12098817","","","","0"
"2019","Canada","2021A000011124","Women+","16 to 64 years","Persons","249","units","0","v466976","1.3.97","12205546","","","","0"
"2020","Canada","2021A000011124","Women+","16 to 64 years","Persons","249","units","0","v466976","1.3.97","12262159","","","","0"
"2021","Canada","2021A000011124","Women+","16 to 64 years","Persons","249","units","0","v466976","1.3.97","12239191","","","","0"
"2022","Canada","2021A000011124","Women+","16 to 64 years","Persons","249","units","0","v466976","1.3.97","12430603","","","","0"
"2023","Canada","2021A000011124","Women+","16 to 64 years","Persons","249","units","0","v466976","1.3.97","12770281","","","","0"
"2024","Canada","2021A000011124","Women+","16 to 64 years","Persons","249","units","0","v466976","1.3.97","13159692","","","","0"
"2025","Canada","2021A000011124","Women+","16 to 64 years","Persons","249","units","0","v466976","1.3.97","13217486","","","","0"
"2017","Canada","2021A000011124","Women+","65 years and older","Persons","249","units","0","v466688","1.3.104","3323136","","","","0"
"2018","Canada","2021A000011124","Women+","65 years and older","Persons","249","units","0","v466688","1.3.104","3431471","","","","0"
"2019","Canada","2021A000011124","Women+","65 years and older","Persons","249","units","0","v466688","1.3.104","3553028","","","","0"
"2020","Canada","2021A000011124","Women+","65 years and older","Persons","249","units","0","v466688","1.3.104","3674434","","","","0"
"2021","Canada","2021A000011124","Women+","65 years and older","Persons","249","units","0","v466688","1.3.104","3797406","","","","0"
"2022","Canada","2021A000011124","Women+","65 years and older","Persons","249","units","0","v466688","1.3.104","3929499","","","","0"
"2023","Canada","2021A000011124","Women+","65 years and older","Persons","249","units","0","v466688","1.3.104","4066009","","","","0"
"2024","Canada","2021A000011124","Women+","65 years and older","Persons","249","units","0","v466688","1.3.104","4209409","","","","0"
"2025","Canada","2021A000011124","Women+","65 years and older","Persons","249","units","0","v466688","1.3.104","4352038","","","","0"
"2017","Newfoundland and Labrador","2021A000210","Total - gender","All ages","Persons","249","units","0","v466983","2.1.1","529742","","","","0"
"2018","Newfoundland and Labrador","2021A000210","Total - gender","All ages","Persons","249","units","0","v466983","2.1.1","528402","","","","0"
"2019","Newfoundland and Labrador","2021A000210","Total - gender","All ages","Persons","249","units","0","v466983","2.1.1","527643","","","","0"
"2020","Newfoundland and Labrador","2021A000210","Total - gender","All ages","Persons","249","units","0","v466983","2.1.1","526884","","","","0"
"2021","Newfoundland and Labrador","2021A000210","Total - gender","All ages","Persons","249","units","0","v466983","2.1.1","527056","","","","0"
"2022","Newfoundland and Labrador","2021A000210","Total - gender","All ages","Persons","249","units","0","v466983","2.1.1","531257","","","","0"
"2023","Newfoundland and Labrador","2021A000210","Total - gender","All ages","Persons","249","units","0","v466983","2.1.1","538789","","","","0"
"2024","Newfoundland and Labrador","2021A000210","Total - gender","All ages","Persons","249","units","0","v466983","2.1.1","546869","","","","0"
"2025","Newfoundland and Labrador","2021A000210","Total - gender","All ages","Persons","249","units","0","v466983","2.1.1","549911","","","","0"
"2017","Newfoundland and Labrador","2021A000210","Total - gender","16 to 64 years","Persons","249","units","0","v467289","2.1.97","345909","","","","0"
"2018","Newfoundland and Labrador","2021A000210","Total - gender","16 to 64 years","Persons","249","units","0","v467289","2.1.97","341463","","","","0"
"2019","Newfoundland and Labrador","2021A000210","Total - gender","16 to 64 years","Persons","249","units","0","v467289","2.1.97","337422","","","","0"
"2020","Newfoundland and Labrador","2021A000210","Total - gender","16 to 64 years","Persons","249","units","0","v467289","2.1.97","333392","","","","0"
"2021","Newfoundland and Labrador","2021A000210","Total - gender","16 to 64 years","Persons","249","units","0","v467289","2.1.97","329844","","","","0"
"2022","Newfoundland and Labrador","2021A000210","Total - gender","16 to 64 years","Persons","249","units","0","v467289","2.1.97","330438","","","","0"
"2023","Newfoundland and Labrador","2021A000210","Total - gender","16 to 64 years","Persons","249","units","0","v467289","2.1.97","333926","","","","0"
